Sonne	1988500e24	-4.254962716766741E+04	1.091189320166977E+06	-1.036076183565770E+04	-1.321207655590972E-02	4.219318757843783E-03	3.303844286820005E-04
Merkur	3.302e23	3.466618004560640E+07	-5.315824317170277E+07	-7.627385899220102E+06	3.129591142544473E+01	2.864896879034093E+01	-5.312495515823183E-01
Venus	48.685e23	8.094355895838024E+07	7.275667938474460E+07	-3.700522534785874E+06	-2.332866055029365E+01	2.608203670890218E+01	1.703596916269179E+00
Erde	5.97219e24	1.165706088804394E+08	9.302959098981297E+07	-1.497117949711531E+04	-1.893301086449131E+01	2.329315692600243E+01	-1.763654781726132E-03
Mond	7.349e22	1.163218123063046E+08	9.330365330643281E+07	-8.261299271054566E+03	-1.971263569578160E+01	2.258427023615260E+01	8.931852580777644E-02
Mars	6.4171e23	2.079986700151006E+08	1.875493712001168E+07	-4.745108724391980E+06	-1.137033476279695E+00	2.621713904049422E+01	5.771763304364814E-01
Jupiter	1898.13e24	-3.804796685968993E+08	-7.058758508520300E+08	1.143839856598699E+07	1.134606808702027E+01	-5.577429293373387E+00	-2.306598866057630E-01
Saturn	5.6834e26	2.457556653132711E+08	-1.483947620538722E+09	1.601933030862993E+07	8.996578604635994E+00	1.547476509221460E+00	-3.849343538478932E-01
Uranus	86.813e24	2.564059089289062E+09	1.504279645917745E+09	-2.763077045628101E+07	-3.495735265424526E+00	5.556266501822432E+00	6.584559492256625E-02
Neptun	102.413e24	4.328532060172639E+09	-1.147056395636229E+09	-7.613388145476007E+07	1.356531718444298E+00	5.286978032587650E+00	-1.397236566278111E-01
